qa_id,category,mode,vsw,top_k,similarity_threshold,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,refusal_correct,faithfulness,relevance,completeness,faithfulness_reason,relevance_reason,completeness_reason,retrieve_es_ms,generate_ms,total_ms,llm_calls,embedding_calls
fact-001,factual,vector,0.6,3,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确16.81元,直接回答,完整覆盖,13405.564199987566,17568.168884987244,30994.312155991793,1,1
fact-001,factual,vector,0.6,5,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确16.81元,直接回答,完整覆盖,13374.419398984173,19517.81700202264,32909.64836499188,1,1
fact-001,factual,local,0.6,5,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确16.81元,直接回答,完整覆盖,8634.733217011672,27894.818929984467,36544.61616600747,1,1
fact-001,factual,vector,0.6,10,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确16.81元,直接回答,完整覆盖,13517.428569000913,23768.64111298346,37305.84722800995,1,1
fact-001,factual,local,0.6,3,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确16.81元,直接回答,完整覆盖,8666.955376014812,37017.88021801622,45713.262108998606,1,1
fact-001,factual,global,0.6,3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,正确16.81元,直接回答,完整覆盖,4670.733865001239,17800.727519002976,22482.290535001084,1,1
fact-001,factual,global,0.6,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,正确16.81元,直接回答,完整覆盖,4929.627272009384,16029.436656011967,20969.556221010862,1,1
fact-001,factual,local,0.6,10,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确16.81元,直接回答,完整覆盖,2349.242976983078,25912.380608991953,28278.217462007888,1,1
fact-001,factual,global,0.6,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,正确16.81元,直接回答,完整覆盖,5147.811217000708,22450.711682002293,27608.009126008255,1,1
fact-002,factual,vector,0.6,3,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,正确21.51亿+同比-2.32%,直接回答,完整覆盖含同比,4878.625292010838,19352.523442008533,24242.22228198778,1,1
fact-002,factual,local,0.6,3,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确21.51亿,直接回答,缺同比-2.32%,2481.7589769954793,23225.515095022274,25718.578686995897,1,1
fact-002,factual,vector,0.6,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,正确21.51亿+同比-2.32%,直接回答,完整覆盖含同比,6018.48257202073,25489.36897900421,31523.783256998286,1,1
fact-002,factual,vector,0.6,10,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,正确21.51亿+同比-2.32%,直接回答,完整覆盖含同比,7243.580715992721,29256.839426001534,36514.18276800541,1,1
fact-002,factual,local,0.6,10,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确21.51亿,直接回答,缺同比-2.32%,1676.1773210018873,28272.4910370016,29962.349584006006,1,1
fact-002,factual,local,0.6,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确21.51亿,直接回答,缺同比-2.32%,2006.997752992902,41914.64943901519,43936.5484410082,1,1
fact-002,factual,global,0.6,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,4,正确21.51亿,直接回答,缺同比-2.32%,5333.426160999807,34911.379333003424,40254.36453500879,1,1
fact-003,factual,vector,0.6,3,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,正确46.85%,直接回答,完整覆盖,4800.235225993674,26038.90967500047,30847.693171002902,1,1
fact-003,factual,vector,0.6,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,正确46.85%,直接回答,完整覆盖,5016.4156909741,24002.327439025976,29030.25071200682,1,1
