qa_id,category,mode,vsw,top_k,similarity_threshold,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,refusal_correct,faithfulness,relevance,completeness,faithfulness_reason,relevance_reason,completeness_reason,retrieve_es_ms,generate_ms,total_ms,llm_calls,embedding_calls
fact-001,factual,vector,0.0,5,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,8182.571573997848,19589.794190018438,27784.786428994266,1,1
fact-001,factual,vector,0.5,5,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,8277.809575985884,19489.405614003772,27778.337194991764,1,1
fact-001,factual,vector,0.3,5,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,8239.514165004948,22905.23105498869,31154.57028200035,1,1
fact-001,factual,vector,0.95,5,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,8249.39867798821,23031.71646798728,31291.083282994805,1,1
fact-001,factual,vector,0.7,5,0.1,0.0,1.0,1.0,1.0,0.3333333333333333,0.5,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,8319.76226498955,24466.285928996513,32796.01906699827,1,1
fact-001,factual,local,0.5,5,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,1892.5701739790384,23022.758378006984,24931.443259003572,1,1
fact-001,factual,local,0.0,5,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,2176.227330986876,26850.98415298853,29039.506472006906,1,1
fact-001,factual,local,0.3,5,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,2219.374369014986,26904.565511998953,29138.37741300813,1,1
fact-001,factual,local,0.7,5,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,2048.5730090003926,26788.998467003694,28853.578276000917,1,1
fact-001,factual,local,0.95,5,0.1,0.0,1.0,1.0,1.0,0.5,0.6309297535714575,False,5,5,5,正确引用'16.81元',直接准确回答,完整覆盖,1646.9210500072222,27616.39184001251,29278.160726011265,1,1
fact-001,factual,global,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,答案'16.81元'与gold一致，无编造,直接准确回答收盘价问题,完整覆盖gold_answer,5781.241268006852,18879.900339990854,24672.260922001442,1,1
fact-001,factual,global,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,答案'16.81元'与gold一致，无编造,直接准确回答收盘价问题,完整覆盖gold_answer,3626.6390969976783,17445.716913993238,21082.880156987812,1,1
fact-001,factual,global,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,答案'16.81元'与gold一致，无编造,直接准确回答收盘价问题,完整覆盖gold_answer,5691.274456999963,22245.047742006136,27944.10589899053,1,1
fact-001,factual,global,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,答案'16.81元'与gold一致，无编造,直接准确回答收盘价问题,完整覆盖gold_answer,4678.235443978338,23118.846805999056,27806.168459006585,1,1
fact-001,factual,global,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,5,答案'16.81元'与gold一致，无编造,直接准确回答收盘价问题,完整覆盖gold_answer,3871.2357670010533,23684.978478995617,27567.79041700065,1,1
fact-002,factual,vector,0.0,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**完整给出'21.51亿元+同比-2.32%'**,直接准确回答,完整覆盖gold（含同比）,8481.734367000172,20524.586810002802,29018.080084992107,1,1
fact-002,factual,vector,0.7,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**完整给出'21.51亿元+同比-2.32%'**,直接准确回答,完整覆盖gold（含同比）,6440.323612012435,18012.28098399588,24464.037903991994,1,1
fact-002,factual,vector,0.3,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**完整给出'21.51亿元+同比-2.32%'**,直接准确回答,完整覆盖gold（含同比）,8046.832621999783,29507.288750988664,37565.68475801032,1,1
fact-002,factual,vector,0.95,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**完整给出'21.51亿元+同比-2.32%'**,直接准确回答,完整覆盖gold（含同比）,9611.212114978116,30111.46980599733,39735.335665987805,1,1
fact-002,factual,vector,0.5,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**完整给出'21.51亿元+同比-2.32%'**,直接准确回答,完整覆盖gold（含同比）,8187.233390985057,36355.82316800719,44554.33765100315,1,1
fact-002,factual,local,0.0,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确引用'21.51亿元',直接准确回答,gold含'同比-2.32%'答案未明确提,1703.4503259928897,22254.585023008985,23973.650938016362,1,1
fact-002,factual,local,0.3,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确引用'21.51亿元',直接准确回答,gold含'同比-2.32%'答案未明确提,1701.5673790010624,23327.80748201185,25040.419889002806,1,1
fact-002,factual,local,0.5,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确引用'21.51亿元',直接准确回答,gold含'同比-2.32%'答案未明确提,1652.6427680219058,36892.68706800067,38560.59891500627,1,1
fact-002,factual,local,0.95,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确引用'21.51亿元',直接准确回答,gold含'同比-2.32%'答案未明确提,7131.9754059950355,22334.70482501434,29481.483928015223,1,1
fact-002,factual,local,0.7,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,4,正确引用'21.51亿元',直接准确回答,gold含'同比-2.32%'答案未明确提,2087.2271489934064,41916.067942016525,44018.44484198955,1,1
fact-002,factual,global,0.0,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,4,答案'21.51亿元'与gold主数据一致，无编造,直接回答营业收入问题,gold含'同比下降2.32%'但答案未提及同比变化,13925.595277978573,45963.572931010276,59901.62343901466,1,1
fact-002,factual,global,0.3,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,4,答案'21.51亿元'与gold主数据一致，无编造,直接回答营业收入问题,gold含'同比下降2.32%'但答案未提及同比变化,16768.8484560058,43725.868207984604,60504.14721498964,1,1
fact-002,factual,global,0.5,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,4,答案'21.51亿元'与gold主数据一致，无编造,直接回答营业收入问题,gold含'同比下降2.32%'但答案未提及同比变化,5792.169099004241,44020.57114397758,49824.105686013354,1,1
fact-002,factual,global,0.7,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,4,答案'21.51亿元'与gold主数据一致，无编造,直接回答营业收入问题,gold含'同比下降2.32%'但答案未提及同比变化,5666.330804990139,43879.67368599493,49555.26062400895,1,1
fact-002,factual,global,0.95,5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,False,5,5,4,答案'21.51亿元'与gold主数据一致，无编造,直接回答营业收入问题,gold含'同比下降2.32%'但答案未提及同比变化,5182.479693990899,33226.795897004195,38419.61627799901,1,1
fact-003,factual,vector,0.3,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**正确给出'46.85%'**,直接准确回答,完整覆盖,5381.615844002226,17753.519457008224,23146.83157199761,1,1
fact-003,factual,vector,0.0,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**正确给出'46.85%'**,直接准确回答,完整覆盖,5252.384690014878,22697.974178008735,27959.924836992286,1,1
fact-003,factual,vector,0.5,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**正确给出'46.85%'**,直接准确回答,完整覆盖,6374.303049000446,23479.829593008617,29869.669553998392,1,1
fact-003,factual,vector,0.95,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**正确给出'46.85%'**,直接准确回答,完整覆盖,6571.819972014055,25028.589834982995,31612.05539701041,1,1
fact-003,factual,vector,0.7,5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,False,5,5,5,**正确给出'46.85%'**,直接准确回答,完整覆盖,6722.171719011385,25557.5641389878,32291.224064014386,1,1
